ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Uncertainty_Level
ENSP00000464899,"mean: 0.174463, var: 0.004964","mean: 0.447363, var: 0.005253","mean: 0.443213, var: 0.005589","mean: 0.182117, var: 0.003242","mean: 0.110809, var: 0.000656","mean: 0.326099, var: 0.006626","mean: 0.055716, var: 0.001900","mean: 0.222485, var: 0.000736","mean: 0.071655, var: 0.001735","mean: 0.147900, var: 0.004319","mean: 0.091118, var: 0.011055",3.1295445614061115,High
ENSP00000464077,"mean: 0.217847, var: 0.003041","mean: 0.519727, var: 0.004301","mean: 0.443945, var: 0.003786","mean: 0.309155, var: 0.015661","mean: 0.126416, var: 0.002296","mean: 0.555566, var: 0.005521","mean: 0.109406, var: 0.002697","mean: 0.230322, var: 0.002318","mean: 0.303540, var: 0.009833","mean: 0.337183, var: 0.009104","mean: 0.053903, var: 0.002242",3.4496895476191076,High
ENSP00000462344,"mean: 0.628906, var: 0.013720","mean: 0.243091, var: 0.002099","mean: 0.325879, var: 0.001089","mean: 0.195679, var: 0.004614","mean: 0.361621, var: 0.005351","mean: 0.403711, var: 0.001991","mean: 0.025246, var: 0.000357","mean: 0.547168, var: 0.012631","mean: 0.429395, var: 0.016136","mean: 0.472900, var: 0.014407","mean: 0.220251, var: 0.005859",3.5272872579704178,High
ENSP00000431638,"mean: 0.447754, var: 0.003001","mean: 0.493994, var: 0.005759","mean: 0.341895, var: 0.001554","mean: 0.095654, var: 0.002543","mean: 0.283716, var: 0.006073","mean: 0.432178, var: 0.004507","mean: 0.037944, var: 0.000471","mean: 0.448730, var: 0.024670","mean: 0.706348, var: 0.003725","mean: 0.416504, var: 0.005852","mean: 0.090775, var: 0.003388",3.3314611747465075,High
ENSP00000451256,"mean: 0.475830, var: 0.018862","mean: 0.571094, var: 0.000446","mean: 0.305688, var: 0.005801","mean: 0.115686, var: 0.002405","mean: 0.458740, var: 0.011277","mean: 0.189917, var: 0.002127","mean: 0.009236, var: 0.000119","mean: 0.187451, var: 0.001584","mean: 0.327051, var: 0.009937","mean: 0.245312, var: 0.006245","mean: 0.117499, var: 0.007398",3.277061906302503,High
ENSP00000439269,"mean: 0.309155, var: 0.010193","mean: 0.795508, var: 0.003013","mean: 0.394678, var: 0.004002","mean: 0.107184, var: 0.001996","mean: 0.175122, var: 0.001749","mean: 0.183679, var: 0.005890","mean: 0.063824, var: 0.001014","mean: 0.186548, var: 0.005795","mean: 0.201636, var: 0.009914","mean: 0.541260, var: 0.012613","mean: 0.040477, var: 0.002238",3.0413606677252374,High
ENSP00000417662,"mean: 0.202197, var: 0.001635","mean: 0.530225, var: 0.002173","mean: 0.458936, var: 0.002205","mean: 0.334424, var: 0.011521","mean: 0.150562, var: 0.000569","mean: 0.500537, var: 0.002864","mean: 0.055304, var: 0.001298","mean: 0.234033, var: 0.003565","mean: 0.214014, var: 0.002178","mean: 0.169556, var: 0.002421","mean: 0.259570, var: 0.008728",3.4957584238077666,High
ENSP00000335674,"mean: 0.281128, var: 0.003195","mean: 0.415332, var: 0.003307","mean: 0.469482, var: 0.001439","mean: 0.214319, var: 0.011851","mean: 0.199414, var: 0.000930","mean: 0.543652, var: 0.002573","mean: 0.031975, var: 0.000845","mean: 0.268652, var: 0.003470","mean: 0.206860, var: 0.002907","mean: 0.193237, var: 0.004240","mean: 0.201135, var: 0.009351",3.488996721023379,High
ENSP00000497176,"mean: 0.230396, var: 0.003251","mean: 0.417578, var: 0.004006","mean: 0.434326, var: 0.005798","mean: 0.523389, var: 0.003684","mean: 0.220801, var: 0.001587","mean: 0.507129, var: 0.003292","mean: 0.038420, var: 0.001351","mean: 0.293799, var: 0.002798","mean: 0.199341, var: 0.003014","mean: 0.320581, var: 0.008271","mean: 0.240308, var: 0.021064",3.595700812699145,High
ENSP00000467906,"mean: 0.196069, var: 0.001087","mean: 0.491650, var: 0.007137","mean: 0.468311, var: 0.000920","mean: 0.355420, var: 0.009449","mean: 0.185327, var: 0.001242","mean: 0.500146, var: 0.002696","mean: 0.049802, var: 0.002288","mean: 0.231104, var: 0.005892","mean: 0.129614, var: 0.002059","mean: 0.271338, var: 0.004446","mean: 0.197009, var: 0.007147",3.477109618772428,High
ENSP00000426551,"mean: 0.140930, var: 0.000577","mean: 0.597559, var: 0.003841","mean: 0.574805, var: 0.005816","mean: 0.067465, var: 0.001767","mean: 0.149341, var: 0.001765","mean: 0.200305, var: 0.005146","mean: 0.026292, var: 0.000806","mean: 0.105408, var: 0.000797","mean: 0.110791, var: 0.000208","mean: 0.138379, var: 0.001328","mean: 0.296198, var: 0.016236",2.9007118422894766,High
ENSP00000420273,"mean: 0.471387, var: 0.005183","mean: 0.461377, var: 0.001617","mean: 0.344238, var: 0.000267","mean: 0.187793, var: 0.001819","mean: 0.509375, var: 0.013455","mean: 0.395410, var: 0.002390","mean: 0.130371, var: 0.001759","mean: 0.196484, var: 0.001651","mean: 0.232227, var: 0.002219","mean: 0.408643, var: 0.000546","mean: 0.251099, var: 0.008118",3.7401509286952312,High
ENSP00000378422,"mean: 0.167383, var: 0.000938","mean: 0.515479, var: 0.003117","mean: 0.500684, var: 0.004722","mean: 0.496973, var: 0.006009","mean: 0.131689, var: 0.000491","mean: 0.362793, var: 0.000423","mean: 0.040892, var: 0.000835","mean: 0.244287, var: 0.000605","mean: 0.211877, var: 0.006050","mean: 0.195557, var: 0.000706","mean: 0.195081, var: 0.006532",3.411218824846191,High
ENSP00000394340,"mean: 0.206689, var: 0.001874","mean: 0.662793, var: 0.003511","mean: 0.313818, var: 0.004554","mean: 0.262756, var: 0.013362","mean: 0.227539, var: 0.002355","mean: 0.126740, var: 0.004728","mean: 0.016377, var: 0.000192","mean: 0.120544, var: 0.000469","mean: 0.131421, var: 0.001019","mean: 0.188916, var: 0.000380","mean: 0.042258, var: 0.001942",2.9495892985336534,High
ENSP00000357381,"mean: 0.277490, var: 0.003119","mean: 0.140747, var: 0.000875","mean: 0.113403, var: 0.000513","mean: 0.826270, var: 0.001712","mean: 0.279175, var: 0.004898","mean: 0.106616, var: 0.001065","mean: 0.039124, var: 0.000167","mean: 0.300830, var: 0.002397","mean: 0.233447, var: 0.002683","mean: 0.241992, var: 0.002818","mean: 0.018076, var: 0.000129",2.874786372733883,High
ENSP00000300433,"mean: 0.715430, var: 0.004851","mean: 0.163867, var: 0.000882","mean: 0.128503, var: 0.000348","mean: 0.399414, var: 0.010141","mean: 0.724414, var: 0.005561","mean: 0.115161, var: 0.001702","mean: 0.007585, var: 0.000019","mean: 0.262769, var: 0.004201","mean: 0.381982, var: 0.003593","mean: 0.276831, var: 0.002896","mean: 0.014700, var: 0.000068",2.8220541655367852,High
ENSP00000455941,"mean: 0.194824, var: 0.004003","mean: 0.307959, var: 0.002284","mean: 0.358423, var: 0.006423","mean: 0.533398, var: 0.017414","mean: 0.130383, var: 0.002041","mean: 0.583008, var: 0.006120","mean: 0.056015, var: 0.004215","mean: 0.193237, var: 0.003029","mean: 0.138000, var: 0.001911","mean: 0.278125, var: 0.012657","mean: 0.247900, var: 0.006220",3.418627285620815,High
ENSP00000440575,"mean: 0.125684, var: 0.001360","mean: 0.525049, var: 0.006621","mean: 0.657715, var: 0.000998","mean: 0.168134, var: 0.008631","mean: 0.106824, var: 0.000585","mean: 0.291846, var: 0.002563","mean: 0.012730, var: 0.000203","mean: 0.124683, var: 0.000449","mean: 0.204736, var: 0.002178","mean: 0.151855, var: 0.000716","mean: 0.157433, var: 0.006524",2.9897583504766914,High
ENSP00000429166,"mean: 0.207666, var: 0.001835","mean: 0.517285, var: 0.008274","mean: 0.298438, var: 0.002850","mean: 0.339453, var: 0.005555","mean: 0.123438, var: 0.001619","mean: 0.468896, var: 0.004503","mean: 0.086780, var: 0.004310","mean: 0.236987, var: 0.001496","mean: 0.148242, var: 0.000826","mean: 0.272412, var: 0.003911","mean: 0.331592, var: 0.028172",3.5649617499310415,High
ENSP00000455296,"mean: 0.176221, var: 0.001991","mean: 0.497461, var: 0.012120","mean: 0.307861, var: 0.007953","mean: 0.076575, var: 0.002834","mean: 0.062445, var: 0.000517","mean: 0.453955, var: 0.012957","mean: 0.015202, var: 0.000322","mean: 0.086780, var: 0.001321","mean: 0.231506, var: 0.005363","mean: 0.113472, var: 0.005924","mean: 0.092828, var: 0.018063",2.8265057819015817,High
ENSP00000437580,"mean: 0.245312, var: 0.003228","mean: 0.587402, var: 0.006030","mean: 0.536768, var: 0.014484","mean: 0.117206, var: 0.001025","mean: 0.213892, var: 0.002071","mean: 0.381592, var: 0.009459","mean: 0.118433, var: 0.006556","mean: 0.134644, var: 0.003813","mean: 0.326587, var: 0.014763","mean: 0.269531, var: 0.014009","mean: 0.074289, var: 0.004873",3.3746153144878925,High
ENSP00000435888,"mean: 0.549951, var: 0.003514","mean: 0.541357, var: 0.006505","mean: 0.256787, var: 0.006706","mean: 0.083911, var: 0.001838","mean: 0.212988, var: 0.002410","mean: 0.474316, var: 0.003661","mean: 0.140610, var: 0.008026","mean: 0.678320, var: 0.032864","mean: 0.597949, var: 0.000997","mean: 0.773730, var: 0.003993","mean: 0.207211, var: 0.010492",3.272516247969926,High
ENSP00000427092,"mean: 0.372266, var: 0.002238","mean: 0.522119, var: 0.001299","mean: 0.348340, var: 0.001823","mean: 0.178882, var: 0.002163","mean: 0.366846, var: 0.005496","mean: 0.262231, var: 0.001284","mean: 0.080731, var: 0.001064","mean: 0.186353, var: 0.000450","mean: 0.282764, var: 0.004240","mean: 0.473145, var: 0.003018","mean: 0.136182, var: 0.006995",3.6002810080794596,High
ENSP00000422831,"mean: 0.352734, var: 0.003798","mean: 0.557324, var: 0.001029","mean: 0.377100, var: 0.000819","mean: 0.063893, var: 0.001116","mean: 0.274048, var: 0.002754","mean: 0.238953, var: 0.008528","mean: 0.047227, var: 0.001421","mean: 0.200269, var: 0.001462","mean: 0.265308, var: 0.002436","mean: 0.333813, var: 0.005390","mean: 0.080699, var: 0.004858",3.321310506767675,High
ENSP00000400637,"mean: 0.126294, var: 0.000412","mean: 0.500830, var: 0.006556","mean: 0.586621, var: 0.003747","mean: 0.145984, var: 0.004136","mean: 0.050723, var: 0.000220","mean: 0.417480, var: 0.009163","mean: 0.027706, var: 0.000258","mean: 0.095432, var: 0.002850","mean: 0.162439, var: 0.005035","mean: 0.173193, var: 0.004076","mean: 0.116377, var: 0.006859",2.8901100832562423,High
ENSP00000451268,"mean: 0.371875, var: 0.007732","mean: 0.504541, var: 0.003540","mean: 0.409155, var: 0.007008","mean: 0.069312, var: 0.001399","mean: 0.209888, var: 0.000979","mean: 0.281934, var: 0.007125","mean: 0.053839, var: 0.000284","mean: 0.261206, var: 0.009179","mean: 0.267017, var: 0.004239","mean: 0.220300, var: 0.004552","mean: 0.042750, var: 0.002447",3.276856822823475,High
ENSP00000346473,"mean: 0.260718, var: 0.000692","mean: 0.422266, var: 0.002773","mean: 0.364185, var: 0.006085","mean: 0.528223, var: 0.001417","mean: 0.192334, var: 0.001612","mean: 0.393994, var: 0.000949","mean: 0.156116, var: 0.004494","mean: 0.369775, var: 0.006698","mean: 0.204956, var: 0.005045","mean: 0.261621, var: 0.000773","mean: 0.207690, var: 0.011548",3.763442240165464,High
ENSP00000462839,"mean: 0.928027, var: 0.004739","mean: 0.155652, var: 0.001100","mean: 0.075293, var: 0.000625","mean: 0.086827, var: 0.016829","mean: 0.394238, var: 0.007621","mean: 0.442188, var: 0.006733","mean: 0.043655, var: 0.002064","mean: 0.631494, var: 0.005319","mean: 0.353467, var: 0.000743","mean: 0.598437, var: 0.009182","mean: 0.114801, var: 0.003833",2.8438922117374754,High
ENSP00000435724,"mean: 0.338574, var: 0.001774","mean: 0.407959, var: 0.002547","mean: 0.461963, var: 0.000077","mean: 0.151208, var: 0.003403","mean: 0.303003, var: 0.003191","mean: 0.377832, var: 0.003048","mean: 0.143298, var: 0.005374","mean: 0.302881, var: 0.002595","mean: 0.201367, var: 0.004969","mean: 0.266016, var: 0.002766","mean: 0.316235, var: 0.006202",3.7836097099482693,High
ENSP00000408251,"mean: 0.262085, var: 0.000551","mean: 0.546533, var: 0.005371","mean: 0.588086, var: 0.001059","mean: 0.159717, var: 0.002266","mean: 0.195996, var: 0.001197","mean: 0.145483, var: 0.002751","mean: 0.011847, var: 0.000088","mean: 0.324097, var: 0.010474","mean: 0.318115, var: 0.001799","mean: 0.183154, var: 0.002358","mean: 0.067387, var: 0.005556",3.1609028217562427,High
ENSP00000396061,"mean: 0.375635, var: 0.004257","mean: 0.707031, var: 0.007091","mean: 0.217603, var: 0.003802","mean: 0.151404, var: 0.000773","mean: 0.258740, var: 0.004077","mean: 0.279810, var: 0.011261","mean: 0.009649, var: 0.000153","mean: 0.229102, var: 0.001322","mean: 0.434741, var: 0.021371","mean: 0.210742, var: 0.007819","mean: 0.064112, var: 0.004617",3.1855690181059804,High
ENSP00000481500,"mean: 0.245679, var: 0.000512","mean: 0.439795, var: 0.003068","mean: 0.401807, var: 0.000387","mean: 0.247363, var: 0.004485","mean: 0.151514, var: 0.000456","mean: 0.425830, var: 0.003515","mean: 0.047562, var: 0.001481","mean: 0.413867, var: 0.011892","mean: 0.289551, var: 0.009710","mean: 0.319873, var: 0.011775","mean: 0.270190, var: 0.006762",3.654528317815138,High
ENSP00000469800,"mean: 0.161389, var: 0.002290","mean: 0.703516, var: 0.004035","mean: 0.363086, var: 0.003855","mean: 0.212146, var: 0.011457","mean: 0.132812, var: 0.000646","mean: 0.282617, var: 0.002664","mean: 0.027199, var: 0.000351","mean: 0.142517, var: 0.005751","mean: 0.177808, var: 0.002599","mean: 0.408936, var: 0.018750","mean: 0.044315, var: 0.003981",3.0503617310263853,High
ENSP00000411992,"mean: 0.199756, var: 0.000533","mean: 0.483203, var: 0.011697","mean: 0.441260, var: 0.004387","mean: 0.474048, var: 0.031585","mean: 0.069055, var: 0.000733","mean: 0.631641, var: 0.003540","mean: 0.093747, var: 0.003160","mean: 0.242651, var: 0.009018","mean: 0.107788, var: 0.002260","mean: 0.248926, var: 0.001659","mean: 0.105909, var: 0.016629",3.2523957974471065,High
ENSP00000386558,"mean: 0.348975, var: 0.004846","mean: 0.437793, var: 0.002226","mean: 0.434619, var: 0.001376","mean: 0.130200, var: 0.004750","mean: 0.166602, var: 0.001931","mean: 0.220837, var: 0.006071","mean: 0.071634, var: 0.003139","mean: 0.159058, var: 0.001092","mean: 0.245630, var: 0.001901","mean: 0.206836, var: 0.004006","mean: 0.079916, var: 0.006964",3.3426972615155863,High
ENSP00000505003,"mean: 0.204907, var: 0.001219","mean: 0.494678, var: 0.004663","mean: 0.339966, var: 0.003708","mean: 0.329065, var: 0.014399","mean: 0.123791, var: 0.000841","mean: 0.464844, var: 0.005770","mean: 0.172266, var: 0.010222","mean: 0.211060, var: 0.004074","mean: 0.198999, var: 0.001935","mean: 0.231689, var: 0.001758","mean: 0.231549, var: 0.028315",3.650389913611301,High
ENSP00000393196,"mean: 0.236328, var: 0.004098","mean: 0.459082, var: 0.004223","mean: 0.445166, var: 0.003260","mean: 0.419678, var: 0.005348","mean: 0.193286, var: 0.003212","mean: 0.499463, var: 0.000969","mean: 0.025354, var: 0.000547","mean: 0.231567, var: 0.000598","mean: 0.242798, var: 0.006020","mean: 0.395117, var: 0.009941","mean: 0.157349, var: 0.005629",3.5209009176544765,High
ENSP00000442180,"mean: 0.204736, var: 0.000365","mean: 0.497705, var: 0.002087","mean: 0.513574, var: 0.003065","mean: 0.343506, var: 0.009880","mean: 0.118091, var: 0.001003","mean: 0.395459, var: 0.000757","mean: 0.052400, var: 0.001833","mean: 0.226587, var: 0.000962","mean: 0.268066, var: 0.004513","mean: 0.273413, var: 0.001106","mean: 0.175018, var: 0.012472",3.503837729832498,High
ENSP00000422612,"mean: 0.426563, var: 0.002927","mean: 0.483301, var: 0.000563","mean: 0.314502, var: 0.001189","mean: 0.239014, var: 0.003211","mean: 0.383838, var: 0.007151","mean: 0.363086, var: 0.002302","mean: 0.212952, var: 0.002564","mean: 0.148962, var: 0.000627","mean: 0.230078, var: 0.004104","mean: 0.471631, var: 0.003552","mean: 0.126526, var: 0.007404",3.7232133165311696,High
ENSP00000357089,"mean: 0.222229, var: 0.022778","mean: 0.725000, var: 0.020412","mean: 0.371545, var: 0.027020","mean: 0.225610, var: 0.003013","mean: 0.298938, var: 0.051154","mean: 0.273267, var: 0.005886","mean: 0.015094, var: 0.000203","mean: 0.210474, var: 0.029070","mean: 0.145471, var: 0.002754","mean: 0.262170, var: 0.012207","mean: 0.016603, var: 0.000340",3.0774158098582345,High
ENSP00000506592,"mean: 0.292822, var: 0.001609","mean: 0.614551, var: 0.009403","mean: 0.528027, var: 0.007008","mean: 0.081223, var: 0.003768","mean: 0.203271, var: 0.002470","mean: 0.462988, var: 0.007642","mean: 0.037238, var: 0.001443","mean: 0.110168, var: 0.001104","mean: 0.111023, var: 0.001022","mean: 0.096695, var: 0.007723","mean: 0.154993, var: 0.007535",3.004765883248128,High
ENSP00000484730,"mean: 0.278101, var: 0.002271","mean: 0.228271, var: 0.001350","mean: 0.214697, var: 0.001984","mean: 0.802344, var: 0.000833","mean: 0.221851, var: 0.000316","mean: 0.283252, var: 0.002519","mean: 0.040063, var: 0.000462","mean: 0.346582, var: 0.003945","mean: 0.261865, var: 0.008672","mean: 0.317676, var: 0.001412","mean: 0.072375, var: 0.002053",3.2928342647898416,High
ENSP00000474781,"mean: 0.591504, var: 0.002640","mean: 0.312988, var: 0.005723","mean: 0.205273, var: 0.001310","mean: 0.096545, var: 0.001436","mean: 0.119360, var: 0.000846","mean: 0.866016, var: 0.001733","mean: 0.113550, var: 0.003164","mean: 0.373145, var: 0.003256","mean: 0.265308, var: 0.001372","mean: 0.216357, var: 0.004823","mean: 0.237830, var: 0.014467",3.2428519238880313,High
ENSP00000440305,"mean: 0.315820, var: 0.001025","mean: 0.347656, var: 0.002377","mean: 0.256152, var: 0.001241","mean: 0.238379, var: 0.003091","mean: 0.159827, var: 0.000598","mean: 0.545410, var: 0.001729","mean: 0.557275, var: 0.003465","mean: 0.357910, var: 0.006162","mean: 0.188403, var: 0.001244","mean: 0.199683, var: 0.002430","mean: 0.216504, var: 0.016092",3.706746092312963,High
ENSP00000421230,"mean: 0.382812, var: 0.003076","mean: 0.510840, var: 0.000817","mean: 0.313623, var: 0.001866","mean: 0.239038, var: 0.003487","mean: 0.371045, var: 0.007133","mean: 0.275757, var: 0.000789","mean: 0.102234, var: 0.001086","mean: 0.177930, var: 0.000163","mean: 0.265210, var: 0.003868","mean: 0.490332, var: 0.002829","mean: 0.116013, var: 0.006053",3.631232462084805,High
ENSP00000437954,"mean: 0.458594, var: 0.011745","mean: 0.321533, var: 0.001128","mean: 0.113574, var: 0.000592","mean: 0.702930, var: 0.004333","mean: 0.424854, var: 0.009126","mean: 0.307080, var: 0.004181","mean: 0.010414, var: 0.000057","mean: 0.255737, var: 0.002613","mean: 0.307837, var: 0.019195","mean: 0.459717, var: 0.005829","mean: 0.042010, var: 0.000765",3.192798535826195,High
ENSP00000435761,"mean: 0.429785, var: 0.004731","mean: 0.554590, var: 0.003621","mean: 0.494385, var: 0.002168","mean: 0.148914, var: 0.000487","mean: 0.152832, var: 0.004084","mean: 0.301538, var: 0.007507","mean: 0.050420, var: 0.001564","mean: 0.341748, var: 0.002903","mean: 0.695752, var: 0.027053","mean: 0.694336, var: 0.007551","mean: 0.054901, var: 0.003685",3.1528950913510596,High
ENSP00000333624,"mean: 0.227710, var: 0.001283","mean: 0.479248, var: 0.004041","mean: 0.413672, var: 0.002694","mean: 0.435986, var: 0.006885","mean: 0.153345, var: 0.001255","mean: 0.493848, var: 0.002472","mean: 0.043027, var: 0.000961","mean: 0.217188, var: 0.001152","mean: 0.242163, var: 0.005126","mean: 0.253467, var: 0.002596","mean: 0.315942, var: 0.009500",3.574812094430547,High
ENSP00000334125,"mean: 0.125342, var: 0.000894","mean: 0.429883, var: 0.009974","mean: 0.310742, var: 0.001267","mean: 0.824219, var: 0.003593","mean: 0.147815, var: 0.002730","mean: 0.660449, var: 0.015235","mean: 0.208313, var: 0.014148","mean: 0.244177, var: 0.017380","mean: 0.092592, var: 0.002627","mean: 0.411523, var: 0.012226","mean: 0.074576, var: 0.002344",3.152672299852804,High
ENSP00000472837,"mean: 0.176978, var: 0.006567","mean: 0.646191, var: 0.003248","mean: 0.517725, var: 0.007804","mean: 0.445947, var: 0.011949","mean: 0.176733, var: 0.002133","mean: 0.332080, var: 0.001544","mean: 0.018333, var: 0.000264","mean: 0.207593, var: 0.004981","mean: 0.152191, var: 0.006648","mean: 0.140155, var: 0.004067","mean: 0.383479, var: 0.072795",3.2911364159369554,High
ENSP00000471034,"mean: 0.231934, var: 0.000652","mean: 0.256714, var: 0.009451","mean: 0.326318, var: 0.005826","mean: 0.588428, var: 0.018640","mean: 0.078809, var: 0.002610","mean: 0.673730, var: 0.018308","mean: 0.049425, var: 0.002032","mean: 0.341187, var: 0.039707","mean: 0.159787, var: 0.030857","mean: 0.459473, var: 0.012851","mean: 0.326797, var: 0.079739",3.363163094839033,High
ENSP00000430836,"mean: 0.211548, var: 0.001453","mean: 0.504443, var: 0.003556","mean: 0.506689, var: 0.003906","mean: 0.075912, var: 0.001874","mean: 0.155054, var: 0.000675","mean: 0.354761, var: 0.005595","mean: 0.053900, var: 0.001452","mean: 0.216797, var: 0.005443","mean: 0.155200, var: 0.000415","mean: 0.238574, var: 0.002641","mean: 0.413208, var: 0.012074",3.355734287765071,High
ENSP00000416164,"mean: 0.390527, var: 0.008767","mean: 0.478223, var: 0.002054","mean: 0.479980, var: 0.007245","mean: 0.125330, var: 0.002250","mean: 0.183960, var: 0.005986","mean: 0.157104, var: 0.003523","mean: 0.018778, var: 0.000296","mean: 0.266016, var: 0.003884","mean: 0.401611, var: 0.013086","mean: 0.410132, var: 0.023175","mean: 0.023827, var: 0.000496",3.182654207103921,High
ENSP00000412812,"mean: 0.564697, var: 0.004248","mean: 0.584570, var: 0.002352","mean: 0.360059, var: 0.001599","mean: 0.086566, var: 0.002236","mean: 0.521289, var: 0.008521","mean: 0.278345, var: 0.001986","mean: 0.059979, var: 0.000655","mean: 0.297778, var: 0.003599","mean: 0.365869, var: 0.002531","mean: 0.259253, var: 0.005927","mean: 0.038908, var: 0.001783",3.2853934945423844,High
ENSP00000406065,"mean: 0.113489, var: 0.000784","mean: 0.454688, var: 0.002792","mean: 0.651465, var: 0.000891","mean: 0.435205, var: 0.016926","mean: 0.136182, var: 0.000948","mean: 0.536914, var: 0.008927","mean: 0.023547, var: 0.000337","mean: 0.272754, var: 0.003759","mean: 0.172644, var: 0.002062","mean: 0.118268, var: 0.002080","mean: 0.209656, var: 0.020966",3.1778877098839917,High
ENSP00000493305,"mean: 0.137292, var: 0.000325","mean: 0.564355, var: 0.002112","mean: 0.559570, var: 0.004136","mean: 0.222864, var: 0.011356","mean: 0.183325, var: 0.002139","mean: 0.355127, var: 0.003022","mean: 0.036537, var: 0.000235","mean: 0.141766, var: 0.002841","mean: 0.116223, var: 0.000598","mean: 0.119922, var: 0.001559","mean: 0.061846, var: 0.002882",3.00804791233719,High
ENSP00000489222,"mean: 0.299609, var: 0.001290","mean: 0.238354, var: 0.001214","mean: 0.226709, var: 0.002435","mean: 0.659473, var: 0.003815","mean: 0.157959, var: 0.001066","mean: 0.300098, var: 0.004589","mean: 0.113977, var: 0.003701","mean: 0.478564, var: 0.010311","mean: 0.286328, var: 0.008400","mean: 0.373389, var: 0.002022","mean: 0.134552, var: 0.009011",3.5626536655884005,High
ENSP00000436936,"mean: 0.311182, var: 0.000704","mean: 0.542822, var: 0.002960","mean: 0.387549, var: 0.003403","mean: 0.157263, var: 0.003827","mean: 0.284839, var: 0.009303","mean: 0.395093, var: 0.009301","mean: 0.106219, var: 0.004749","mean: 0.054953, var: 0.000949","mean: 0.130652, var: 0.002296","mean: 0.131207, var: 0.002262","mean: 0.093682, var: 0.010121",3.2296100420660667,High
ENSP00000435577,"mean: 0.117712, var: 0.000262","mean: 0.579785, var: 0.002285","mean: 0.506201, var: 0.004596","mean: 0.166785, var: 0.003942","mean: 0.100232, var: 0.000846","mean: 0.297949, var: 0.001509","mean: 0.053914, var: 0.002653","mean: 0.100928, var: 0.000885","mean: 0.167896, var: 0.002707","mean: 0.175305, var: 0.005033","mean: 0.128738, var: 0.012588",3.0602280086460323,High
ENSP00000427520,"mean: 0.772559, var: 0.003478","mean: 0.184180, var: 0.000695","mean: 0.208374, var: 0.002709","mean: 0.177148, var: 0.001266","mean: 0.716113, var: 0.005871","mean: 0.201135, var: 0.005311","mean: 0.015890, var: 0.000131","mean: 0.230884, var: 0.003667","mean: 0.490479, var: 0.014506","mean: 0.414844, var: 0.009542","mean: 0.033940, var: 0.001021",2.939565188407958,High
ENSP00000440181,"mean: 0.123108, var: 0.000953","mean: 0.533838, var: 0.001613","mean: 0.735156, var: 0.001493","mean: 0.179565, var: 0.005985","mean: 0.151208, var: 0.001271","mean: 0.219507, var: 0.003157","mean: 0.152161, var: 0.010756","mean: 0.149390, var: 0.001882","mean: 0.080298, var: 0.001391","mean: 0.106030, var: 0.000604","mean: 0.066288, var: 0.005319",2.93683020935913,High
ENSP00000436907,"mean: 0.334863, var: 0.006765","mean: 0.340967, var: 0.000989","mean: 0.467920, var: 0.002239","mean: 0.098084, var: 0.003662","mean: 0.291699, var: 0.014088","mean: 0.442676, var: 0.003126","mean: 0.031142, var: 0.000612","mean: 0.080548, var: 0.001709","mean: 0.130640, var: 0.005746","mean: 0.153519, var: 0.011503","mean: 0.039034, var: 0.001215",3.027564229229741,High
ENSP00000294521,"mean: 0.520312, var: 0.006164","mean: 0.620508, var: 0.001340","mean: 0.269189, var: 0.001903","mean: 0.203760, var: 0.004489","mean: 0.620313, var: 0.006663","mean: 0.248547, var: 0.008033","mean: 0.037177, var: 0.000294","mean: 0.250806, var: 0.003459","mean: 0.360059, var: 0.007235","mean: 0.319922, var: 0.000910","mean: 0.161366, var: 0.006265",3.451709439495603,High
ENSP00000483601,"mean: 0.267480, var: 0.007806","mean: 0.422705, var: 0.006396","mean: 0.616504, var: 0.001908","mean: 0.142200, var: 0.004968","mean: 0.133521, var: 0.002299","mean: 0.467139, var: 0.016817","mean: 0.037305, var: 0.002244","mean: 0.309595, var: 0.020179","mean: 0.123730, var: 0.002230","mean: 0.304663, var: 0.002195","mean: 0.095773, var: 0.011157",3.2476721326002806,High
ENSP00000464183,"mean: 0.433203, var: 0.003587","mean: 0.337451, var: 0.000776","mean: 0.386865, var: 0.002581","mean: 0.106274, var: 0.000834","mean: 0.185449, var: 0.002746","mean: 0.351123, var: 0.003103","mean: 0.027930, var: 0.000214","mean: 0.498682, var: 0.007524","mean: 0.526367, var: 0.009703","mean: 0.472461, var: 0.003313","mean: 0.083133, var: 0.005476",3.360324687527379,High
ENSP00000403920,"mean: 0.228674, var: 0.009228","mean: 0.660547, var: 0.004365","mean: 0.420703, var: 0.004821","mean: 0.063889, var: 0.001594","mean: 0.182397, var: 0.007281","mean: 0.108746, var: 0.001287","mean: 0.074344, var: 0.000894","mean: 0.195795, var: 0.007576","mean: 0.447803, var: 0.016252","mean: 0.394482, var: 0.003961","mean: 0.284666, var: 0.088551",3.2998247635424414,High
