Cell membrane,Cytoplasm,Endoplasmic reticulum,Extracellular,Golgi apparatus,Lysosome/Vacuole,Membrane,Mitochondrion,Nucleus,Peroxisome,Plastid
,"(0.48193359, 0.59912109, 0.54687500, 0.42724609, 0.71093750) mean: 0.55322265, var: 0.00959463",,,,,,,"(0.90722656, 0.71289062, 0.69042969, 0.85156250, 0.80371094) mean: 0.79316406, var: 0.00670601",,
"(0.50781250, 0.70898438, 0.70019531, 0.72998047, 0.70166016) mean: 0.66972656, var: 0.00666719",,,,,,"(0.73486328, 0.90332031, 0.82519531, 0.72802734, 0.75732422) mean: 0.78974609, var: 0.00440565",,,,
"(0.82421875, 0.82177734, 0.81591797, 0.78857422, 0.77050781) mean: 0.80419922, var: 0.00044527",,,,,,"(0.81933594, 0.87255859, 0.82031250, 0.74560547, 0.79199219) mean: 0.80996094, var: 0.00171560",,,,
,,,,,,,,,,
"(0.53222656, 0.74609375, 0.73486328, 0.78027344, 0.71582031) mean: 0.70185547, var: 0.00763298",,,,,,"(0.70361328, 0.88720703, 0.80224609, 0.74511719, 0.73828125) mean: 0.77529297, var: 0.00413393",,,,
,,,,,,,,,,
,"(0.45922852, 0.42089844, 0.46093750, 0.49267578, 0.52539062) mean: 0.47182617, var: 0.00123495",,,,,,,,,
"(0.66162109, 0.73779297, 0.75195312, 0.73291016, 0.66894531) mean: 0.71064453, var: 0.00141626",,,,,,"(0.78173828, 0.81396484, 0.82519531, 0.74169922, 0.73193359) mean: 0.77890625, var: 0.00139412",,,,
,,,,,,"(0.64111328, 0.75927734, 0.68261719, 0.70751953, 0.74072266) mean: 0.70625000, var: 0.00176064","(0.94482422, 0.95898438, 0.94287109, 0.95947266, 0.94384766) mean: 0.95000000, var: 0.00005718",,,
,,,,,,,,,,
,,,,,,,,"(0.49951172, 0.51025391, 0.52099609, 0.57470703, 0.63623047) mean: 0.54833984, var: 0.00260048",,
,"(0.41503906, 0.50244141, 0.45336914, 0.63232422, 0.47680664) mean: 0.49599609, var: 0.00547325",,,,,,,,,
,"(0.68701172, 0.55273438, 0.58593750, 0.59765625, 0.65625000) mean: 0.61591797, var: 0.00238110",,,,,,,"(0.61035156, 0.55664062, 0.74072266, 0.41967773, 0.53808594) mean: 0.57309570, var: 0.01090406",,
,,,,,,,,"(0.97070312, 0.95263672, 0.97509766, 0.96972656, 0.95800781) mean: 0.96523437, var: 0.00007166",,
,"(0.66796875, 0.53564453, 0.62597656, 0.67724609, 0.61279297) mean: 0.62392578, var: 0.00254091",,,,"(0.43652344, 0.68798828, 0.72753906, 0.77539062, 0.64990234) mean: 0.65546875, var: 0.01372019",,,,,
"(0.68505859, 0.83642578, 0.71728516, 0.83984375, 0.58593750) mean: 0.73291016, var: 0.00925703",,,,,,"(0.82324219, 0.85400391, 0.82373047, 0.87109375, 0.74560547) mean: 0.82353516, var: 0.00185266",,,,
,"(0.68896484, 0.57373047, 0.58984375, 0.59082031, 0.49267578) mean: 0.58720703, var: 0.00389849",,,,,,,,,
,"(0.51611328, 0.60937500, 0.43090820, 0.40991211, 0.55224609) mean: 0.50371094, var: 0.00555457",,,,,,,,,
,"(0.68603516, 0.75683594, 0.72265625, 0.71923828, 0.75878906) mean: 0.72871094, var: 0.00072866",,,,,,,"(0.64794922, 0.64501953, 0.71435547, 0.67773438, 0.69531250) mean: 0.67607422, var: 0.00071875",,
,"(0.55615234, 0.53759766, 0.63525391, 0.48364258, 0.63916016) mean: 0.57036133, var: 0.00354796",,,,,,,"(0.60205078, 0.48925781, 0.66455078, 0.45825195, 0.58251953) mean: 0.55932617, var: 0.00571222",,
,,,,,,,,"(0.76660156, 0.75000000, 0.79052734, 0.81250000, 0.80761719) mean: 0.78544922, var: 0.00057217",,
,"(0.58447266, 0.47924805, 0.55468750, 0.65673828, 0.53564453) mean: 0.56215820, var: 0.00341524",,,,,,,,,
,,,"(0.80175781, 0.93408203, 0.72021484, 0.63378906, 0.64697266) mean: 0.74736328, var: 0.01230741",,,,,,,
,,"(0.63671875, 0.69873047, 0.64843750, 0.68896484, 0.58496094) mean: 0.65156250, var: 0.00165792",,,,"(0.91894531, 0.95166016, 0.94775391, 0.98876953, 0.99072266) mean: 0.95957031, var: 0.00073513",,,,
,,,"(0.83984375, 0.78613281, 0.83837891, 0.80468750, 0.89941406) mean: 0.83369141, var: 0.00149647",,,,,,,
,"(0.62548828, 0.55126953, 0.66601562, 0.72265625, 0.51562500) mean: 0.61621094, var: 0.00564642",,,,,,,,,
,"(0.91162109, 0.96191406, 0.89257812, 0.91992188, 0.96923828) mean: 0.93105469, var: 0.00087847",,,,,,,,,
,"(0.50244141, 0.51611328, 0.52587891, 0.58886719, 0.58789062) mean: 0.54423828, var: 0.00135447",,,,,,,"(0.49389648, 0.51367188, 0.56103516, 0.63085938, 0.51611328) mean: 0.54311524, var: 0.00240773",,
,,,,,,,,"(0.50878906, 0.61230469, 0.69091797, 0.67382812, 0.71923828) mean: 0.64101562, var: 0.00559877",,
,"(0.74902344, 0.83056641, 0.87890625, 0.87939453, 0.80761719) mean: 0.82910156, var: 0.00237722",,,,,,,,,
,"(0.70458984, 0.71777344, 0.78076172, 0.75048828, 0.78369141) mean: 0.74746094, var: 0.00103001",,,,,,,,,
,"(0.57812500, 0.64355469, 0.61230469, 0.63720703, 0.60644531) mean: 0.61552734, var: 0.00054947",,,,,,,"(0.68017578, 0.61425781, 0.69384766, 0.63720703, 0.70458984) mean: 0.66601562, var: 0.00119438",,
,"(0.54443359, 0.51757812, 0.49316406, 0.52148438, 0.54101562) mean: 0.52353515, var: 0.00034088",,,,,,,,,
,,,,,,,,,,
,"(0.69238281, 0.66748047, 0.54199219, 0.52490234, 0.52197266) mean: 0.58974609, var: 0.00553106",,,,"(0.60351562, 0.62939453, 0.50439453, 0.48583984, 0.77539062) mean: 0.59970703, var: 0.01076216",,,,,
,"(0.35595703, 0.61328125, 0.51855469, 0.56396484, 0.54541016) mean: 0.51943359, var: 0.00763811",,,,,,,,,
,"(0.56347656, 0.58544922, 0.52099609, 0.55517578, 0.68798828) mean: 0.58261719, var: 0.00320553",,,,"(0.72705078, 0.67382812, 0.61669922, 0.59326172, 0.49365234) mean: 0.62089844, var: 0.00620857",,,,,
,,,,,,,,"(0.69091797, 0.73095703, 0.61132812, 0.67187500, 0.70556641) mean: 0.68212891, var: 0.00162573",,
,"(0.44042969, 0.49389648, 0.49658203, 0.54785156, 0.50878906) mean: 0.49750976, var: 0.00118671",,,,"(0.52441406, 0.60498047, 0.62939453, 0.70898438, 0.74951172) mean: 0.64345703, var: 0.00627817",,,,,
"(0.90722656, 0.91113281, 0.90966797, 0.93261719, 0.85009766) mean: 0.90214844, var: 0.00076014",,,,,,"(0.86572266, 0.86767578, 0.89013672, 0.89355469, 0.85400391) mean: 0.87421875, var: 0.00023018",,,,
,,,,,,,,"(0.48706055, 0.61132812, 0.76611328, 0.72656250, 0.61767578) mean: 0.64174805, var: 0.00961865",,
,"(0.60742188, 0.54394531, 0.52880859, 0.68066406, 0.55175781) mean: 0.58251953, var: 0.00311432",,,,,,,"(0.52587891, 0.57910156, 0.48291016, 0.51855469, 0.54150391) mean: 0.52958985, var: 0.00098158",,
,"(0.38500977, 0.48315430, 0.57421875, 0.45458984, 0.54980469) mean: 0.48935547, var: 0.00459820",,,,,,,"(0.79296875, 0.78271484, 0.76953125, 0.83984375, 0.73193359) mean: 0.78339844, var: 0.00122381",,
,,,,,,,,"(0.57714844, 0.58496094, 0.64404297, 0.65722656, 0.60791016) mean: 0.61425781, var: 0.00100183",,
,,,,,,,,"(0.64892578, 0.63085938, 0.73486328, 0.65429688, 0.68066406) mean: 0.66992188, var: 0.00130873",,
,,,,,,,,"(0.95117188, 0.94921875, 0.93750000, 0.97851562, 0.93457031) mean: 0.95019531, var: 0.00024185",,
,"(0.61523438, 0.65283203, 0.62060547, 0.63037109, 0.59667969) mean: 0.62314453, var: 0.00034060",,,,,,,"(0.64453125, 0.63525391, 0.63183594, 0.66552734, 0.71240234) mean: 0.65791016, var: 0.00087992",,
,"(0.40917969, 0.53662109, 0.42944336, 0.52197266, 0.47119141) mean: 0.47368164, var: 0.00248343",,,,,,,"(0.68066406, 0.53076172, 0.70117188, 0.61718750, 0.62646484) mean: 0.63125000, var: 0.00352987",,
"(0.65136719, 0.66113281, 0.48364258, 0.76171875, 0.73828125) mean: 0.65922852, var: 0.00952989","(0.43750000, 0.49218750, 0.40527344, 0.55029297, 0.49438477) mean: 0.47592774, var: 0.00252079",,,,,"(0.65283203, 0.76171875, 0.59472656, 0.69970703, 0.62597656) mean: 0.66699219, var: 0.00342970",,,,
,"(0.46704102, 0.47875977, 0.52001953, 0.56640625, 0.54199219) mean: 0.51484375, var: 0.00140193",,,,"(0.46435547, 0.47436523, 0.57812500, 0.65234375, 0.75341797) mean: 0.58452148, var: 0.01194821",,,,,
,,,,,,,,"(0.87500000, 0.88427734, 0.87158203, 0.88378906, 0.92529297) mean: 0.88798828, var: 0.00037218",,
,,,,,,,,,,
,,,,"(0.85546875, 0.84326172, 0.85839844, 0.71923828, 0.69091797) mean: 0.79345703, var: 0.00531321",,"(0.86132812, 0.82470703, 0.88720703, 0.79931641, 0.88427734) mean: 0.85136719, var: 0.00117737",,,,
,"(0.59960938, 0.64990234, 0.60791016, 0.62988281, 0.67675781) mean: 0.63281250, var: 0.00079088",,,,,,,,,
,"(0.37817383, 0.60351562, 0.51904297, 0.57763672, 0.56347656) mean: 0.52836914, var: 0.00639049",,,,,,,,,
,,,,,,"(0.61767578, 0.66259766, 0.63769531, 0.61523438, 0.63525391) mean: 0.63369141, var: 0.00029024","(0.92822266, 0.95312500, 0.93945312, 0.92724609, 0.93017578) mean: 0.93564453, var: 0.00009512",,,
"(0.64355469, 0.63134766, 0.62890625, 0.79003906, 0.74755859) mean: 0.68828125, var: 0.00452715","(0.59667969, 0.55419922, 0.53906250, 0.59228516, 0.59228516) mean: 0.57490235, var: 0.00055834",,,,,"(0.66357422, 0.77050781, 0.77197266, 0.86328125, 0.81298828) mean: 0.77646484, var: 0.00433420",,,,
,,,,,,,"(0.93505859, 0.95068359, 0.91455078, 0.94335938, 0.94921875) mean: 0.93857422, var: 0.00017447",,,
,,,,,,,"(0.90380859, 0.95996094, 0.86425781, 0.93017578, 0.94580078) mean: 0.92080078, var: 0.00114645",,,
,"(0.56298828, 0.64501953, 0.56396484, 0.71923828, 0.56787109) mean: 0.61181640, var: 0.00384941",,,,,,,,,
,,"(0.82812500, 0.78710938, 0.83496094, 0.80859375, 0.79199219) mean: 0.81015625, var: 0.00036034",,,,"(0.83056641, 0.80566406, 0.79882812, 0.82275391, 0.78857422) mean: 0.80927734, var: 0.00023714",,,,
,,,,,,,,"(0.73925781, 0.62011719, 0.58691406, 0.79589844, 0.60986328) mean: 0.67041016, var: 0.00673084",,
,,,"(0.91650391, 0.89697266, 0.92822266, 0.89453125, 0.92480469) mean: 0.91220703, var: 0.00019564",,,,,,,
,"(0.54589844, 0.56494141, 0.53710938, 0.53613281, 0.54980469) mean: 0.54677735, var: 0.00010933",,,,,,,"(0.61669922, 0.65185547, 0.66650391, 0.69189453, 0.62402344) mean: 0.65019531, var: 0.00076290",,
,"(0.49731445, 0.41552734, 0.49609375, 0.53076172, 0.50585938) mean: 0.48911133, var: 0.00150918",,,,,,,"(0.58740234, 0.56494141, 0.59765625, 0.59277344, 0.66943359) mean: 0.60244141, var: 0.00124735",,
,"(0.57080078, 0.59423828, 0.61376953, 0.61035156, 0.61914062) mean: 0.60166015, var: 0.00030703",,,,,,,"(0.61962891, 0.67480469, 0.58349609, 0.60986328, 0.56103516) mean: 0.60976563, var: 0.00147842",,
,"(0.50878906, 0.56347656, 0.49438477, 0.51660156, 0.55664062) mean: 0.52797851, var: 0.00074157",,,,,,,,,
,,,,,,,,"(0.92675781, 0.96728516, 0.98193359, 0.96386719, 0.97265625) mean: 0.96250000, var: 0.00035662",,
,"(0.54052734, 0.58593750, 0.57812500, 0.60742188, 0.62744141) mean: 0.58789063, var: 0.00085764",,,,,,,"(0.62695312, 0.60693359, 0.60888672, 0.62207031, 0.55615234) mean: 0.60419922, var: 0.00063501",,
,"(0.71240234, 0.65917969, 0.65039062, 0.63720703, 0.67382812) mean: 0.66660156, var: 0.00066637",,,,,,,,,
,"(0.62353516, 0.60888672, 0.66406250, 0.62744141, 0.65869141) mean: 0.63652344, var: 0.00045296",,,,,"(0.62744141, 0.68603516, 0.52685547, 0.68310547, 0.48803711) mean: 0.60229492, var: 0.00658422",,,,
,,,,,,,,,,
,,,,,,,,"(0.72314453, 0.65771484, 0.63232422, 0.79931641, 0.62939453) mean: 0.68837891, var: 0.00421547",,
,"(0.53906250, 0.69531250, 0.61962891, 0.65429688, 0.67382812) mean: 0.63642578, var: 0.00298954",,,,,,,,,
,"(0.57861328, 0.58984375, 0.56982422, 0.60595703, 0.63134766) mean: 0.59511719, var: 0.00047401",,,,,,,"(0.66015625, 0.72363281, 0.72265625, 0.69433594, 0.72509766) mean: 0.70517578, var: 0.00063747",,
,,,,,,,,,,
,"(0.56982422, 0.64501953, 0.60205078, 0.64257812, 0.60156250) mean: 0.61220703, var: 0.00080236",,,,,,,"(0.69384766, 0.63281250, 0.67871094, 0.63916016, 0.71044922) mean: 0.67099610, var: 0.00092196",,
,,,,,,,,"(0.86767578, 0.90966797, 0.89160156, 0.93310547, 0.84375000) mean: 0.88916016, var: 0.00097628",,
,,,,,"(0.65917969, 0.69726562, 0.34179688, 0.77734375, 0.63085938) mean: 0.62128906, var: 0.02195373","(0.84033203, 0.86621094, 0.80810547, 0.89501953, 0.88769531) mean: 0.85947266, var: 0.00102209",,,,
,"(0.47338867, 0.53564453, 0.43481445, 0.47241211, 0.50781250) mean: 0.48481445, var: 0.00117939",,,,,"(0.45166016, 0.47412109, 0.50097656, 0.41186523, 0.59765625) mean: 0.48725586, var: 0.00389997",,,,
,"(0.50878906, 0.54931641, 0.51171875, 0.59912109, 0.62841797) mean: 0.55947266, var: 0.00225557",,,,,,,,,
,,,,,,,,"(0.66113281, 0.72412109, 0.71484375, 0.64355469, 0.62988281) mean: 0.67470703, var: 0.00144333",,
,"(0.58154297, 0.56201172, 0.52099609, 0.55761719, 0.53173828) mean: 0.55078125, var: 0.00047379",,,,,,,"(0.58642578, 0.55273438, 0.55419922, 0.53955078, 0.55664062) mean: 0.55791016, var: 0.00023848",,
,"(0.42944336, 0.64794922, 0.49267578, 0.50146484, 0.59863281) mean: 0.53403320, var: 0.00617203",,,,,"(0.50195312, 0.32397461, 0.48657227, 0.49511719, 0.47924805) mean: 0.45737305, var: 0.00450765","(0.62500000, 0.67285156, 0.68066406, 0.80468750, 0.71679688) mean: 0.70000000, var: 0.00359550",,,
,,,,,,,"(0.89111328, 0.91796875, 0.92431641, 0.93603516, 0.94335938) mean: 0.92255860, var: 0.00032545",,,
,"(0.59179688, 0.60546875, 0.60888672, 0.53466797, 0.67138672) mean: 0.60244141, var: 0.00190214",,,,,,,"(0.82666016, 0.81250000, 0.74462891, 0.85986328, 0.81152344) mean: 0.81103516, var: 0.00140810",,
,"(0.64501953, 0.71142578, 0.67822266, 0.65917969, 0.64990234) mean: 0.66875000, var: 0.00058418",,,,,,,,,
,"(0.41821289, 0.60253906, 0.50146484, 0.43286133, 0.60986328) mean: 0.51298828, var: 0.00658792",,,,,,,"(0.55419922, 0.49902344, 0.65380859, 0.59375000, 0.53710938) mean: 0.56757813, var: 0.00278555",,
,,,,,,,"(0.91015625, 0.92675781, 0.93017578, 0.94335938, 0.93261719) mean: 0.92861328, var: 0.00011600",,,
,"(0.85253906, 0.85546875, 0.81640625, 0.86669922, 0.86230469) mean: 0.85068359, var: 0.00031857",,,,,,"(0.58154297, 0.90283203, 0.38842773, 0.88525391, 0.77050781) mean: 0.70571289, var: 0.03827547",,"(0.58154297, 0.77978516, 0.92626953, 0.99267578, 0.98632812) mean: 0.85332031, var: 0.02434059",
,"(0.59130859, 0.54199219, 0.55273438, 0.59716797, 0.51904297) mean: 0.56044922, var: 0.00088305",,,,,,,,,
,,,"(0.67578125, 0.70947266, 0.77880859, 0.79394531, 0.79394531) mean: 0.75039062, var: 0.00236849",,,,,,,
,"(0.44213867, 0.47802734, 0.42895508, 0.52490234, 0.48657227) mean: 0.47211914, var: 0.00115837",,,,,,,"(0.71142578, 0.69335938, 0.70605469, 0.70166016, 0.70214844) mean: 0.70292969, var: 0.00003515",,
,,,"(0.56982422, 0.82324219, 0.59326172, 0.81884766, 0.74316406) mean: 0.70966797, var: 0.01180960",,,,,,,
,"(0.52001953, 0.54101562, 0.61083984, 0.58349609, 0.50927734) mean: 0.55292968, var: 0.00148369",,,,,"(0.44970703, 0.50634766, 0.56494141, 0.61962891, 0.42944336) mean: 0.51401367, var: 0.00501889",,,,
,,,,,,,"(0.95117188, 0.97314453, 0.93066406, 0.98779297, 0.96435547) mean: 0.96142578, var: 0.00037851",,,
,,,,,,,,"(0.62841797, 0.59033203, 0.71826172, 0.77685547, 0.72949219) mean: 0.68867188, var: 0.00472389",,
"(0.56689453, 0.66357422, 0.54541016, 0.65722656, 0.46679688) mean: 0.57998047, var: 0.00542635","(0.62988281, 0.61718750, 0.61376953, 0.64843750, 0.64306641) mean: 0.63046875, var: 0.00018744",,,,,"(0.60156250, 0.66015625, 0.54687500, 0.60742188, 0.48413086) mean: 0.58002930, var: 0.00358602",,,,
,,,"(0.72705078, 0.63818359, 0.69677734, 0.65673828, 0.68554688) mean: 0.68085937, var: 0.00096241",,,,,,,
,"(0.67529297, 0.62451172, 0.71630859, 0.72314453, 0.63330078) mean: 0.67451172, var: 0.00166222",,,,,,,,,
,,,,,,,,,,
,,,,,,,,"(0.53027344, 0.64111328, 0.51904297, 0.61083984, 0.66503906) mean: 0.59326172, var: 0.00344534",,
,,,,,,,"(0.70019531, 0.74365234, 0.70800781, 0.63378906, 0.57470703) mean: 0.67207031, var: 0.00363031",,,
,,,,,,,,"(0.94042969, 0.96484375, 0.97705078, 0.95947266, 0.96630859) mean: 0.96162109, var: 0.00014482",,
,"(0.57666016, 0.53564453, 0.54199219, 0.60156250, 0.54589844) mean: 0.56035156, var: 0.00062414",,,,,,,,,
,"(0.41162109, 0.53222656, 0.45166016, 0.55566406, 0.60986328) mean: 0.51220703, var: 0.00512190",,,,,,,"(0.80566406, 0.70214844, 0.77783203, 0.65136719, 0.78613281) mean: 0.74462891, var: 0.00341053",,
,,,,,,,,,,
,"(0.54931641, 0.41796875, 0.53857422, 0.52001953, 0.51660156) mean: 0.50849609, var: 0.00219294",,,,,,,"(0.61669922, 0.60156250, 0.60302734, 0.77832031, 0.66943359) mean: 0.65380859, var: 0.00448656",,
,,,,,,,,"(0.79199219, 0.69091797, 0.74365234, 0.78271484, 0.84033203) mean: 0.76992187, var: 0.00250801",,
,,,,,,,,"(0.91015625, 0.96337891, 0.94335938, 0.97119141, 0.93359375) mean: 0.94433594, var: 0.00047369",,
,,,,,,,,"(0.91650391, 0.90283203, 0.93408203, 0.93115234, 0.93017578) mean: 0.92294922, var: 0.00013794",,
,,,,,,,,"(0.60546875, 0.68847656, 0.65136719, 0.78613281, 0.62402344) mean: 0.67109375, var: 0.00408951",,
"(0.82958984, 0.83447266, 0.83789062, 0.79150391, 0.77197266) mean: 0.81308594, var: 0.00070023",,,,,,"(0.80322266, 0.85986328, 0.81738281, 0.72802734, 0.76904297) mean: 0.79550781, var: 0.00198673",,,,
,"(0.77685547, 0.77587891, 0.74169922, 0.79687500, 0.74853516) mean: 0.76796875, var: 0.00040897",,,,,,,,,
,"(0.55957031, 0.59765625, 0.59228516, 0.58007812, 0.58789062) mean: 0.58349609, var: 0.00017624",,,,,,,,,
,,,,,,,,"(0.62695312, 0.51513672, 0.67871094, 0.69775391, 0.52099609) mean: 0.60791016, var: 0.00592165",,
,"(0.65185547, 0.67822266, 0.69628906, 0.69140625, 0.73730469) mean: 0.69101563, var: 0.00077356",,,,,,,,,
,,,,,,,"(0.96533203, 0.96679688, 0.95898438, 0.95361328, 0.94824219) mean: 0.95859375, var: 0.00004896",,,
,,,,,,,,"(0.76025391, 0.76416016, 0.78173828, 0.86621094, 0.81298828) mean: 0.79707031, var: 0.00154148",,
,,,,,,,,"(0.68750000, 0.72460938, 0.82177734, 0.74365234, 0.73144531) mean: 0.74179687, var: 0.00195021",,
,"(0.41479492, 0.61767578, 0.63818359, 0.60107422, 0.53515625) mean: 0.56137695, var: 0.00656370",,,,,,,"(0.62353516, 0.37329102, 0.59326172, 0.57128906, 0.54687500) mean: 0.54165039, var: 0.00772389",,
,"(0.44287109, 0.50878906, 0.47534180, 0.50000000, 0.56884766) mean: 0.49916992, var: 0.00173711",,,,,,,"(0.75927734, 0.72021484, 0.77441406, 0.78320312, 0.80664062) mean: 0.76875000, var: 0.00082441",,
,"(0.52441406, 0.85449219, 0.54248047, 0.80664062, 0.83300781) mean: 0.71220703, var: 0.02156578",,,,,,,,,
,"(0.50195312, 0.47753906, 0.50927734, 0.56152344, 0.47143555) mean: 0.50434570, var: 0.00102020",,,,"(0.50878906, 0.58105469, 0.54882812, 0.62841797, 0.71044922) mean: 0.59550781, var: 0.00484053",,,,,
,"(0.62060547, 0.46948242, 0.58398438, 0.53125000, 0.56396484) mean: 0.55385742, var: 0.00261907",,,,,"(0.29809570, 0.51416016, 0.55957031, 0.63964844, 0.43090820) mean: 0.48847656, var: 0.01362518",,,,
,,,,,,,,"(0.75634766, 0.69677734, 0.76464844, 0.73046875, 0.72412109) mean: 0.73447266, var: 0.00058664",,
,,,,,,,"(0.91992188, 0.92871094, 0.92675781, 0.93896484, 0.92871094) mean: 0.92861328, var: 0.00003723",,,
,,,"(0.72705078, 0.72656250, 0.87841797, 0.78369141, 0.80126953) mean: 0.78339844, var: 0.00315071",,,,,,,
,"(0.59179688, 0.43603516, 0.59667969, 0.54003906, 0.51513672) mean: 0.53593750, var: 0.00344797",,,,,,,"(0.64062500, 0.62744141, 0.57324219, 0.48950195, 0.58251953) mean: 0.58266602, var: 0.00282649",,
,,,,,,,,,,
,,,,,,,,,,
,"(0.39721680, 0.40380859, 0.45239258, 0.59716797, 0.58740234) mean: 0.48759766, var: 0.00767907",,,,,,,,,
,"(0.54248047, 0.57519531, 0.58300781, 0.54492188, 0.55908203) mean: 0.56093750, var: 0.00025820",,,,,,,,,
,,"(0.57568359, 0.59619141, 0.58398438, 0.69970703, 0.71142578) mean: 0.63339844, var: 0.00352844",,,,"(0.70019531, 0.68847656, 0.68750000, 0.72705078, 0.73242188) mean: 0.70712891, var: 0.00036358",,,,
,"(0.47631836, 0.46826172, 0.58593750, 0.41430664, 0.68603516) mean: 0.52617188, var: 0.00949620",,,,"(0.69140625, 0.87402344, 0.76806641, 0.79589844, 0.88330078) mean: 0.80253906, var: 0.00504309","(0.39575195, 0.52246094, 0.38452148, 0.58398438, 0.60888672) mean: 0.49912109, var: 0.00872265",,,,
"(0.41503906, 0.43676758, 0.57128906, 0.73730469, 0.58203125) mean: 0.54848633, var: 0.01351737","(0.61230469, 0.67089844, 0.57324219, 0.56738281, 0.71289062) mean: 0.62734375, var: 0.00319275",,,,,"(0.48510742, 0.58007812, 0.61132812, 0.78613281, 0.48168945) mean: 0.58886718, var: 0.01234972",,,,
,,,,,,,"(0.83935547, 0.89697266, 0.91113281, 0.82568359, 0.81396484) mean: 0.85742187, var: 0.00153427",,,
,"(0.85644531, 0.83300781, 0.83642578, 0.84863281, 0.81201172) mean: 0.83730469, var: 0.00023073",,,,,,,,,
,"(0.54638672, 0.60253906, 0.55175781, 0.59960938, 0.58105469) mean: 0.57626953, var: 0.00055031",,,,,,,,,
,"(0.55322266, 0.63671875, 0.57421875, 0.55175781, 0.60449219) mean: 0.58408203, var: 0.00105633",,,,,,,"(0.64306641, 0.65722656, 0.70312500, 0.69824219, 0.66748047) mean: 0.67382813, var: 0.00054331",,
,,,,,,,,,,
,,,,,,,"(0.91845703, 0.97558594, 0.93164062, 0.92480469, 0.96044922) mean: 0.94218750, var: 0.00048510",,,
,,,,,,,,,,
,"(0.55517578, 0.50488281, 0.51513672, 0.54833984, 0.54150391) mean: 0.53300781, var: 0.00038181",,,,,,,,,
,,,,,,,,"(0.73193359, 0.66894531, 0.79394531, 0.76660156, 0.81933594) mean: 0.75615234, var: 0.00274426",,
"(0.88183594, 0.90087891, 0.83691406, 0.87988281, 0.86083984) mean: 0.87207031, var: 0.00046968",,,,,,"(0.90429688, 0.89990234, 0.89355469, 0.91406250, 0.89794922) mean: 0.90195313, var: 0.00004858",,,,
,"(0.64160156, 0.69433594, 0.59765625, 0.65673828, 0.68408203) mean: 0.65488281, var: 0.00117277",,,,,,,"(0.56103516, 0.51269531, 0.57958984, 0.60742188, 0.61181641) mean: 0.57451172, var: 0.00130068",,
"(0.53466797, 0.56298828, 0.58740234, 0.58740234, 0.60791016) mean: 0.57607422, var: 0.00063118","(0.48022461, 0.52392578, 0.51953125, 0.43774414, 0.44799805) mean: 0.48188477, var: 0.00125683",,,,,"(0.49780273, 0.53906250, 0.50048828, 0.54931641, 0.56835938) mean: 0.53100586, var: 0.00076585",,,,
,"(0.51318359, 0.57275391, 0.55810547, 0.59619141, 0.54882812) mean: 0.55781250, var: 0.00075375",,,,,,,"(0.50341797, 0.56494141, 0.56689453, 0.57714844, 0.57617188) mean: 0.55771485, var: 0.00076059",,
,"(0.67724609, 0.77050781, 0.73779297, 0.68896484, 0.68408203) mean: 0.71171875, var: 0.00132118",,,,,,,,,
,,,"(0.78906250, 0.77441406, 0.79882812, 0.78662109, 0.77392578) mean: 0.78457031, var: 0.00008883",,,,,,,
"(0.77587891, 0.80029297, 0.77197266, 0.79589844, 0.77929688) mean: 0.78466797, var: 0.00012751",,,,,,"(0.81250000, 0.77880859, 0.75488281, 0.76416016, 0.73242188) mean: 0.76855469, var: 0.00070963",,,,
,,,,,,,,,,
,,,,,,,,"(0.82470703, 0.77929688, 0.76660156, 0.79589844, 0.76611328) mean: 0.78652344, var: 0.00048231",,
,,,,,,,,"(0.70898438, 0.75683594, 0.63916016, 0.72363281, 0.73876953) mean: 0.71347656, var: 0.00163321",,
,,,"(0.93994141, 0.88818359, 0.95068359, 0.94677734, 0.93310547) mean: 0.93173828, var: 0.00051025",,,,,,,
,,,,,,,"(0.91064453, 0.92919922, 0.92285156, 0.89599609, 0.90625000) mean: 0.91298828, var: 0.00013994",,,
,"(0.58496094, 0.56835938, 0.58691406, 0.56445312, 0.61230469) mean: 0.58339844, var: 0.00028709",,,,,,,"(0.65576172, 0.64062500, 0.68994141, 0.67187500, 0.67822266) mean: 0.66728516, var: 0.00029951",,
,"(0.57568359, 0.50439453, 0.56835938, 0.58398438, 0.55761719) mean: 0.55800781, var: 0.00079378",,,,,,,,,
,,,,,,,,"(0.87353516, 0.93408203, 0.86376953, 0.86474609, 0.89990234) mean: 0.88720703, var: 0.00071983",,
,"(0.63378906, 0.43652344, 0.52050781, 0.61035156, 0.48925781) mean: 0.53808594, var: 0.00547791",,,,,,,,,
,,,,,,,,,,
,"(0.54589844, 0.70361328, 0.70605469, 0.65185547, 0.64550781) mean: 0.65058594, var: 0.00337511",,,,,,,"(0.44580078, 0.64746094, 0.50878906, 0.57617188, 0.52246094) mean: 0.54013672, var: 0.00460228",,
